text,label_str,label
How did serfdom develop in and then leave Russia ?,DESC:manner,0.0
What films featured the character Popeye Doyle ?,ENTY:cremat,1.0
How can I find a list of celebrities ' real names ?,DESC:manner,0.0
What fowl grabs the spotlight after the Chinese Year of the Monkey ?,ENTY:animal,2.0
What is the full form of .com ?,ABBR:exp,3.0
What contemptible scoundrel stole the cork from my lunch ?,HUM:ind,4.0
What team did baseball 's St. Louis Browns become ?,HUM:gr,5.0
What is the oldest profession ?,HUM:title,6.0
What are liver enzymes ?,DESC:def,7.0
Name the scar-faced bounty hunter of The Old West .,HUM:ind,4.0
When was Ozzy Osbourne born ?,NUM:date,8.0
Why do heavier objects travel downhill faster ?,DESC:reason,9.0
Who was The Pride of the Yankees ?,HUM:ind,4.0
Who killed Gandhi ?,HUM:ind,4.0
What is considered the costliest disaster the insurance industry has ever faced ?,ENTY:event,10.0
What sprawling U.S. state boasts the most airports ?,LOC:state,11.0
What did the only repealed amendment to the U.S. Constitution deal with ?,DESC:desc,12.0
How many Jews were executed in concentration camps during WWII ?,NUM:count,13.0
What is `` Nine Inch Nails '' ?,DESC:def,7.0
What is an annotated bibliography ?,DESC:def,7.0
What is the date of Boxing Day ?,NUM:date,8.0
What articles of clothing are tokens in Monopoly ?,ENTY:other,14.0
Name 11 famous martyrs .,HUM:ind,4.0
What 's the Olympic motto ?,DESC:desc,12.0
What is the origin of the name ` Scarlett ' ?,DESC:desc,12.0
What 's the second-most-used vowel in English ?,ENTY:letter,15.0
Who was the inventor of silly putty ?,HUM:ind,4.0
What is the highest waterfall in the United States ?,LOC:other,16.0
Name a golf course in Myrtle Beach .,ENTY:other,14.0
Which two states enclose Chesapeake Bay ?,LOC:state,11.0
What does the abbreviation AIDS stand for ?,ABBR:exp,3.0
What does a spermologer collect ?,ENTY:other,14.0
How many points make up a perfect fivepin bowling score ?,NUM:count,13.0
Which company that manufactures video-game hardware sells the `` super system '' ?,HUM:gr,5.0
How many Community Chest cards are there in Monopoly ?,NUM:count,13.0
What do Mormons believe ?,DESC:desc,12.0
When did the neanderthal man live ?,NUM:date,8.0
In what religion was Isis the nature goddess ?,ENTY:religion,17.0
