text,label
"The movie was excellent and I loved it",1.0
"What a terrible waste of time",0.0
"Great acting and beautiful scenery",1.0
"The plot was boring and slow",0.0
"I really enjoyed this film",1.0
"Awful direction and bad writing",0.0
"One of the best movies of the year",1.0
"I would not recommend this to anyone",0.0
"Fantastic visuals and sound",1.0
"Complete garbage do not watch",0.0
"A very good experience overall",1.0
"Disappointing and predictable",0.0
"Truly amazing performance",1.0
"It was just okay not great",0.5
"Average movie nothing special",0.5
"Masterpiece of cinema",1.0
"Horrible acting skills",0.0
"Quite good but could be better",0.7
"Not bad actually pretty fun",0.8
"Terrible terrible terrible",0.0

