text,label
"A plane is taking off. An air plane is taking off.",5.000
"A man is playing a large flute. A man is playing a flute.",3.800
"A man is spreading shreded cheese on a pizza. A man is spreading shredded cheese on an uncooked pizza.",3.800
"Three men are playing chess. Two men are playing chess.",2.600
"A man is playing the cello. A man seated is playing the cello.",4.250
"Some men are fighting. Two men are fighting.",4.250
"A man is smoking. A man is skating.",0.500
"The man is playing the piano. The man is playing the guitar.",1.600
"A man is playing on a guitar and singing. A woman is playing on a guitar and singing.",2.200
"A person is throwing a cat on to the ceiling. A person throws a cat on the ceiling.",5.000
"The man is hitting the other man with a stick. The man is hitting the other man with a sword.",2.800
"A woman picks up and holds a baby kangaroo. A woman picks up and holds a baby kangaroo in her arms.",5.000
"A man is playing a flute. A man is playing a bamboo flute.",3.600
"A person is folding a piece of paper. Someone is folding a piece of paper.",5.000
"A man is running on the road. A panda dog is running on the road.",1.667
"A dog is trying to get bacon off his back. A dog is trying to get the bacon off its back.",5.000
"The polar bear is sliding on the snow. A polar bear is sliding across the snow.",5.000
"A woman is writing. A woman is swimming.",0.500
"A cat is eating. A cat is drinking.",1.200
"The man is riding a horse. A man is riding a horse.",5.000
"A woman is playing the violin. A woman is playing the flute.",1.600
"A man is eating a banana. A man is eating a piece of fruit.",3.500
"A man is speaking. A man is spitting.",0.600
"A woman is cooking. A man is cooking.",1.600
"A man is opening a package. A man is opening a small package.",4.400
"A man is siming. A man is swimming.",0.000
"A man is dancing. A man is talking.",0.600
"A man is drawing. A woman is drawing.",1.400
"A man is riding a motorcycle. A woman is riding a motorcycle.",1.400
"A person is frying an omelette. A person is cooking an omelette.",4.600

